,Crack_Spread,Crack_Z_Score,Basket_Return,SPY_Return,Rolling_Beta,Beta_Hedged_Return,VLO_Hedged_Return,MPC_Hedged_Return,PSX_Hedged_Return,DINO_Hedged_Return,PBF_Hedged_Return,DK_Hedged_Return,CVI_Hedged_Return
2021-12-08,19.456199645996094,0.13338916154169436,-0.011469757318041464,0.0026479675356780863,1.2567448614240475,-0.014797576911722597,-0.015935548782876063,-0.005955075882581264,-0.01139832303992505,-0.019551486751128673,-0.04084786758587601,-0.024763701177465527,-0.024792257441941155
2021-12-09,20.159399032592773,0.3061837682515097,-0.008649125458123559,-0.006751539837133391,1.2264978859810436,-0.0003683761207626552,0.002254057679230788,-0.0029275644962670107,0.012906213212736556,-0.004371056531377212,-0.026912954411922388,-0.002368410048190866,-0.030507576870887093
2021-12-10,19.694005489349365,0.17701624605852798,0.00910692216984843,0.009413496458462456,1.203398546305223,-0.0022212657839146537,-0.003258072364053113,-0.005757330278121239,-0.005997865577283358,0.007552519208148293,0.006705316440238956,0.0022371663225671974,0.00659350423989272
2021-12-13,19.231196403503418,0.04554495278186335,-0.035689858824762055,-0.008858357047762389,1.1935897152573562,-0.02511661495847535,-0.026949506056040948,-0.019025010769129432,-0.03133372889325543,-0.023486720805860183,-0.029877275187095095,-0.020760267094444715,-0.018180086684117816
2021-12-14,19.429997444152832,0.08912147551497028,0.003102265682830096,-0.006880043556733884,1.2964684692999369,0.012022025221545768,0.008184838196774681,0.019000705536763876,0.02292868931636528,0.0002797760864742989,-0.008659008720029136,0.002793166823536525,-0.004824371095059803
2021-12-15,19.785600185394287,0.1768033833613738,-0.00015421073660860647,0.015625045279773042,1.2216554936959425,-0.0192426331418912,-0.017440254638123317,-0.01810644684119922,-0.018295760300628044,-0.01254213241991103,-0.0455997741756787,-0.02918507778485404,-0.015771237137716138
2021-12-16,20.326600551605225,0.3176069610733734,-0.0028511352873482896,-0.00881851645274212,1.1661211500813233,0.007432323260534422,0.01728285907755761,0.014695212541808441,0.014382848845686969,-0.004558261500436847,-0.02010121433139485,-0.037218969599893896,-0.01672143018241417
2021-12-17,19.62619924545288,0.11501733946248315,0.0047588416041653816,-0.014106585738330457,1.0877604378261314,0.02010342748312358,0.01376328317042101,0.0098994044006237,0.02362153260097432,0.03156915879948818,0.047042093557322834,0.01868003832900118,0.03678699931707605
2021-12-20,20.711995601654053,0.41272838938852957,-0.016818535000202424,-0.010633405490204417,0.9774484198232263,-0.006424929606462498,0.01018076513370521,-0.014165256455953143,-0.025229658557825108,-0.007277064574605129,0.028971896619510024,-0.012512892261104705,0.01566728206192021
2021-12-21,20.750798225402832,0.41737479341662376,0.041243972235515555,0.017758992432985066,0.9918008594768059,0.023630588277038875,0.021714761711359668,0.023127511252009104,0.024966248145530508,0.012547288191196868,0.04909350578523136,0.014739604308645102,0.034641473520011026
2021-12-22,20.25319814682007,0.2668953197015361,-0.0046608670860841354,0.009998714868965974,1.1038064003411974,-0.015697512553635475,-0.010661468667527629,-0.016157872091534846,-0.016265800891086344,-0.017892956237329338,-0.02577172303103977,-0.028415215291394097,-0.008551692024872876
2021-12-23,20.620397567749023,0.36695887950261513,0.00039792060229215643,0.006222077972414919,1.1454754505898435,-0.006729316966764962,-0.0010568823735409164,-0.008072992267222589,-0.0019713512113192326,-0.00794159711397114,-0.02101393235478581,-0.03010530056637692,-0.012077782925780543
2021-12-27,19.928200721740723,0.1553626030862366,0.019442123635896136,0.014152153794584565,1.1410154768420113,0.00329429712562675,0.003382889406848444,0.00038688279701895936,-0.0009937446552768028,-0.003308297109246121,0.022011541890734846,0.024720564936431672,0.011890292160907697
2021-12-28,20.1384015083313,0.20980707037763535,0.011796459131515846,-0.0008171953242616103,1.211478376628461,0.012786473596340671,0.019718849019097918,0.0054899974263774975,0.01646389992827321,0.012951966597066395,0.005612874002892482,0.004490737569573713,0.011358195291471316
2021-12-29,20.33679962158203,0.26180313257810434,-0.002854460209591791,0.0012792079086265673,1.1609864143780189,-0.004339603212672153,0.0005693755007883557,-0.007986447938905145,-0.015782357255836696,0.0055779655047596315,0.020461323067442343,0.007157855669531479,-0.009570025530168735
2021-12-30,20.862999439239502,0.415711635791105,-0.008821818436004148,-0.0027645289726202504,1.278094694198561,-0.005288488624140008,-0.0015210814784093404,-0.004901077648832731,-0.002443522484120924,-0.00938152272985736,-0.016180085018333706,-0.02442788269609939,-0.0020703512518373303
2021-12-31,19.809398651123047,0.0817711240930168,0.005573679586072211,-0.0025201869073463445,1.3071888587202356,0.00886803983324796,0.014405518289195184,0.011814997230037698,0.0028534689606942464,0.006790283212381984,0.004785571594524223,-0.00024377774347294177,0.013868513989508289
2022-01-03,20.105597496032715,0.1657238645591704,0.03875136829303242,0.005789961364061735,1.2924432647244724,0.03126817172503591,0.019724951005206517,0.01927510637829183,0.03909582863137597,0.026194166291118363,0.06657168716673281,0.0666940324445668,0.049229952232810285
2022-01-04,20.47939920425415,0.27643811111617145,0.023373597094914465,-0.00033493890638969237,1.3214452146776934,0.023816200509972504,0.018190541303762513,0.03314505568331831,0.03773255454682314,-0.01580994519713976,0.017243821501871745,0.01670460902667937,0.028654712395658737
2022-01-05,20.57420015335083,0.29953720114463644,-0.0020558100317543296,-0.019202142486770768,1.3362305647510024,0.023602679667772592,0.021146280554149383,0.02946529706334769,0.018164177506484757,0.018914243793272573,0.03448368655317012,0.03650659841406032,0.019356045181766986
2022-01-06,19.748202800750732,0.021955129358660903,0.03160147630857037,-0.0009394133755055156,1.2431804666593833,0.03276933666711738,0.026201301974130398,0.028999102033746504,0.028557020528265243,0.02318208952248361,0.09755085418270812,0.04174476822356011,0.05093980921040138
2022-01-07,20.214396476745605,0.16607501247621012,0.014892402215563143,-0.003953511334494841,1.238871418989244,0.019790294412518825,0.015272240395030895,0.015331149247499396,0.02248428457831233,-0.0010723670279427049,0.06778184512755414,0.0018726264485057686,0.06285777962598897
2022-01-10,20.30759572982788,0.18878304491566775,0.00650518451782851,-0.001244366059822366,1.2184296384542723,0.008021357006202642,0.001865433108509624,-0.005464334918279802,0.024445970699579506,0.019054853138459713,0.013276329767599265,-0.006776231474744359,0.011581991105231896
